airline_id ,name ,homebase 
9E,Endeavor Air Inc.,Atlanta
B6,JetBlue Airways,New York
EV,ExpressJet Airlines Inc.,Atlanta
G4,Allegiant Air,Summerlin
HA,Hawaiian Airlines Inc.,Oahu
NK,Spirit Air Lines,Miami
OO,SkyWest Airlines Inc.,Utah
F9,Frontier Airlines Inc.,Denver
EM,Trans States Airlines,Chicago
WN,Southwest Airlines Co.,Dallas
YV,Mesa Airlines Inc.,Phoenix
YX,Republic Airlines,Minneapolis
DL,Delta Air Lines Inc.,Atlanta
UA,United Air Lines Inc.,Chicago
AS,Alaska Airlines Inc.,Seattle
QX,Horizon Air,Seattle
C5,"Commutair Aka Champlain Enterprises, Inc.",Denver
AX,Trans States Airlines,Bridgeton
G7,"GoJet Airlines, LLC d/b/a United Express",Bridgeton
ZW,Air Wisconsin Airlines Corp,Greenville
9K,Cape Air,Billings
CP,Compass Airlines,Minneapolis
VX,Virgin America,Dallas
KS,Peninsula Airways Inc.,Anchorage
MQ,Envoy Air,Irving
AA,American Airlines Inc.,Dallas
OH,Comair Inc.,Atlanta
PT,Capital Cargo International,Orlando
